,Region,Year,Gender,Nationality,Population estimates
117,12,0.25,0.0,1.0,0.07144063771658829
118,0,0.5,0.0,1.0,0.028435629133098484
119,7,0.16666666666666666,1.0,0.0,0.7570826688978138
120,6,0.16666666666666666,0.0,0.0,0.05128425104297582
121,0,0.5833333333333334,0.0,0.0,0.0011848547322107432
122,12,1.0,1.0,0.0,0.05650775344290365
123,9,0.9166666666666666,0.0,0.0,0.002487339979015188
124,4,0.8333333333333334,1.0,0.0,0.046781272396599384
125,5,0.3333333333333333,0.0,1.0,0.11821571903347222
126,10,0.3333333333333333,1.0,0.0,0.09763568561933056
127,5,0.6666666666666666,0.0,0.0,0.025569454038161226
128,9,0.9166666666666666,1.0,1.0,0.03516651203708044
129,12,0.6666666666666666,1.0,1.0,0.08244189155763733
130,10,0.6666666666666666,1.0,0.0,0.09628072360160461
131,4,0.0,1.0,1.0,0.054726196551450675
132,6,0.0,1.0,0.0,0.12013377449198506
133,7,0.08333333333333333,0.0,1.0,0.4586602444533085
134,4,0.5,1.0,1.0,0.0640915312810199
135,4,0.0,0.0,0.0,0.004358814933002199
136,7,0.0,1.0,1.0,0.4502825343450147
137,9,0.6666666666666666,1.0,1.0,0.03264320483305164
138,10,0.08333333333333333,0.0,1.0,0.10047709639540599
139,12,0.5833333333333334,0.0,1.0,0.07921810790580243
140,4,0.4166666666666667,0.0,1.0,0.06179080813342779
141,11,0.8333333333333334,1.0,0.0,0.9169165946585133
142,8,0.5833333333333334,1.0,0.0,0.040930112438852036
143,8,0.5833333333333334,1.0,1.0,0.0480861161499621
144,1,0.4166666666666667,1.0,0.0,0.03297192168461048
145,3,0.4166666666666667,0.0,0.0,0.11244386385874669
146,3,0.4166666666666667,1.0,0.0,0.5078065093012128
147,9,0.5833333333333334,1.0,1.0,0.031866371735421554
148,2,0.4166666666666667,0.0,0.0,0.024514317166655315
149,12,0.5833333333333334,0.0,0.0,0.008639799149581498
150,4,0.4166666666666667,1.0,0.0,0.0445256556869342
151,10,0.4166666666666667,0.0,0.0,0.01993645593705382
152,2,0.4166666666666667,1.0,1.0,0.17627536979171735
153,2,0.8333333333333334,0.0,0.0,0.02545241315020709
154,2,0.8333333333333334,1.0,1.0,0.19812133160101025
155,0,0.8333333333333334,0.0,1.0,0.03185782214914783
156,7,0.5833333333333334,1.0,1.0,0.5370546439436352
157,8,0.5833333333333334,0.0,0.0,0.008580246858985188
158,8,0.5833333333333334,0.0,1.0,0.048028332739284495
159,1,0.4166666666666667,1.0,1.0,0.05213419784391227
160,5,1.0,0.0,1.0,0.14433529472634984
161,0,0.5833333333333334,0.0,1.0,0.02917266243255777
162,5,1.0,0.0,0.0,0.025421162938310017
163,2,0.25,0.0,1.0,0.16797814371972453
164,0,0.3333333333333333,0.0,0.0,0.000995879394229383
165,7,0.5,1.0,1.0,0.526147730364917
166,10,0.5833333333333334,1.0,1.0,0.11671865699561053
167,2,0.16666666666666666,1.0,0.0,0.1040154458594501
168,12,0.3333333333333333,0.0,0.0,0.007634190915799252
169,0,0.3333333333333333,1.0,0.0,0.018015452345343144
170,5,0.5,0.0,1.0,0.12476293323922892
171,8,0.25,0.0,1.0,0.043206071267582295
172,8,0.75,1.0,0.0,0.03616327587126918
173,2,1.0,1.0,0.0,0.13863272068177349
174,9,0.8333333333333334,0.0,1.0,0.03404297847538471
175,4,1.0,0.0,0.0,0.007640971622154278
176,5,0.16666666666666666,1.0,0.0,0.07233038431569554
177,3,0.6666666666666666,1.0,0.0,0.4890215941912342
178,6,0.6666666666666666,0.0,1.0,0.17815392026537916
179,5,0.6666666666666666,0.0,1.0,0.13064563822219313
180,11,0.16666666666666666,1.0,1.0,0.5106045825192801
181,6,0.25,1.0,1.0,0.15601491401622122
182,9,0.8333333333333334,1.0,1.0,0.03441031587183522
183,5,0.6666666666666666,1.0,1.0,0.12969339119929174
184,3,1.0,0.0,1.0,0.4217280954440434
185,8,0.3333333333333333,1.0,1.0,0.04473438351734107
186,10,0.25,0.0,0.0,0.018903135251211903
187,8,1.0,1.0,1.0,0.05405814956882078
188,7,0.75,1.0,0.0,0.7902866086650941
189,2,0.16666666666666666,0.0,1.0,0.1635326536707059
190,1,1.0,1.0,1.0,0.06074775860803301
191,9,0.8333333333333334,0.0,0.0,0.002860278828541585
192,8,0.5,1.0,1.0,0.047113527007995634
193,4,0.5,1.0,0.0,0.048495317037821895
194,7,0.3333333333333333,1.0,0.0,0.8367845654613814
195,4,0.16666666666666666,1.0,1.0,0.05727927990077763
196,3,0.8333333333333334,1.0,1.0,0.4203065056160463
197,3,0.5833333333333334,1.0,0.0,0.5316981807364849
198,8,0.3333333333333333,0.0,0.0,0.007085543327681762
199,11,0.6666666666666666,0.0,0.0,0.28047477916271246
200,11,0.75,0.0,0.0,0.27344112297931267
201,11,0.16666666666666666,0.0,0.0,0.24767325957693698
